Time(sec),Diff Intensity
0.000000000000000000e+00,6.910887899999995643e-03
3.333333330000000372e-02,6.907192700000008845e-03
6.666666670000000183e-02,6.899805499999966951e-03
1.000000000000000056e-01,6.888732700000010922e-03
1.333333332999999954e-01,6.873983600000022065e-03
1.666666666999999935e-01,6.855570699999979922e-03
2.000000000000000111e-01,6.833510000000042606e-03
2.333333332999999732e-01,6.807820099999972729e-03
2.666666666999999991e-01,6.778522899999972484e-03
2.999999999999999889e-01,6.745643400000056467e-03
3.333333332999999787e-01,6.709209699999940657e-03
3.666666667000000324e-01,6.669252800000025072e-03
4.000000000000000222e-01,6.625806599999950475e-03
4.333333332999999565e-01,6.578908200000010975e-03
4.666666667000000102e-01,6.528597500000010712e-03
5.000000000000000000e-01,6.474917299999938258e-03
5.333333332999999898e-01,6.417913000000052826e-03
5.666666666999999880e-01,6.357633200000045726e-03
5.999999999999999778e-01,6.294129099999934418e-03
6.333333332999999676e-01,6.227454500000062509e-03
6.666666666999999658e-01,6.157665899999997805e-03
6.999999999999999556e-01,6.084822299999959050e-03
7.333333332999999454e-01,6.008985700000080143e-03
7.666666667000000546e-01,5.930219799999969510e-03
8.000000000000000444e-01,5.848591299999927884e-03
8.333333333000000342e-01,5.764169300000010487e-03
8.666666667000000324e-01,5.677024600000080135e-03
9.000000000000000222e-01,5.587230899999906519e-03
9.333333333000000120e-01,5.494863700000074402e-03
9.666666667000000102e-01,5.400000299999985209e-03
1.000000000000000000e+00,5.302720899999946447e-03
1.033333333299999879e+00,5.203106499999998746e-03
1.066666666699999988e+00,5.101240800000073072e-03
1.100000000000000089e+00,4.997208899999883158e-03
1.133333333299999968e+00,4.891097600000060552e-03
1.166666666700000077e+00,4.782995300000036920e-03
1.199999999999999956e+00,4.672992200000058993e-03
1.233333333300000056e+00,4.561179399999892858e-03
1.266666666699999944e+00,4.447649700000000372e-03
1.300000000000000044e+00,4.332497400000079324e-03
1.333333333299999923e+00,4.215817099999963347e-03
1.366666666699999810e+00,4.097705600000001169e-03
1.399999999999999911e+00,3.978259699999986410e-03
1.433333333300000234e+00,3.857577799999956092e-03
1.466666666699999899e+00,3.735758500000074811e-03
1.500000000000000000e+00,3.612901599999940316e-03
1.533333333300000101e+00,3.489107200000063358e-03
1.566666666699999766e+00,3.364476199999910655e-03
1.600000000000000089e+00,3.239109499999948127e-03
1.633333333300000190e+00,3.113108600000025206e-03
1.666666666699999855e+00,2.986575300000016142e-03
1.699999999999999956e+00,2.859611200000111708e-03
1.733333333300000056e+00,2.732318199999972386e-03
1.766666666699999944e+00,2.604798099999916516e-03
1.800000000000000044e+00,2.477152500000023849e-03
1.833333333300000145e+00,2.349482499999999696e-03
1.866666666699999810e+00,2.221889400000121029e-03
1.899999999999999911e+00,2.094473399999907670e-03
1.933333333300000234e+00,1.967334699999989667e-03
1.966666666699999899e+00,1.840572400000017872e-03
2.000000000000000000e+00,1.714285200000054132e-03
2.033333333300000323e+00,1.588570899999974806e-03
2.066666666699999766e+00,1.463526199999898303e-03
2.100000000000000089e+00,1.339246999999987864e-03
2.133333333299999968e+00,1.215827900000077122e-03
2.166666666699999855e+00,1.093362599999925244e-03
2.200000000000000178e+00,9.719431000000389176e-04
2.233333333300000056e+00,8.516605000000732062e-04
2.266666666699999944e+00,7.326038999999617829e-04
2.299999999999999822e+00,6.148616000000162174e-04
2.333333333300000145e+00,4.985194000000081616e-04
2.366666666700000032e+00,3.836621999999678678e-04
2.399999999999999911e+00,2.703726999999656044e-04
2.433333333300000234e+00,1.587316000000171812e-04
2.466666666699999677e+00,4.881820000002257132e-05
2.500000000000000000e+00,-5.929059999998376185e-05
2.533333333300000323e+00,-1.655200000000300875e-04
2.566666666699999766e+00,-2.697970999999688146e-04
2.600000000000000089e+00,-3.720513000000646997e-04
2.633333333299999968e+00,-4.722144999999011716e-04
2.666666666699999855e+00,-5.702206000000042962e-04
2.700000000000000178e+00,-6.660058999999884932e-04
2.733333333299999612e+00,-7.595097000000494702e-04
2.766666666700000388e+00,-8.506729000000712304e-04
2.799999999999999822e+00,-9.394397999998860271e-04
2.833333333299999701e+00,-1.025756900000063254e-03
2.866666666700000032e+00,-1.109573399999952414e-03
2.899999999999999911e+00,-1.190841200000014588e-03
2.933333333299999790e+00,-1.269515000000054350e-03
2.966666666700000121e+00,-1.345552299999996926e-03
3.000000000000000000e+00,-1.418913399999888192e-03
3.033333333299999879e+00,-1.489561300000108446e-03
3.066666666700000210e+00,-1.557462199999970487e-03
3.100000000000000089e+00,-1.622584799999993166e-03
3.133333333299999968e+00,-1.684901199999977450e-03
3.166666666700000299e+00,-1.744386200000058729e-03
3.200000000000000178e+00,-1.801017499999946203e-03
3.233333333299999612e+00,-1.854775900000049660e-03
3.266666666700000388e+00,-1.905645300000036180e-03
3.299999999999999822e+00,-1.953612499999923813e-03
3.333333333299999701e+00,-1.998667399999987104e-03
3.366666666700000032e+00,-2.040802699999955117e-03
3.399999999999999911e+00,-2.080014699999965799e-03
3.433333333299999790e+00,-2.116301800000108813e-03
3.466666666700000121e+00,-2.149666499999924874e-03
3.500000000000000000e+00,-2.180113400000016632e-03
3.533333333299999879e+00,-2.207650699999952337e-03
3.566666666700000210e+00,-2.232289300000078747e-03
3.600000000000000089e+00,-2.254043300000008188e-03
3.633333333299999968e+00,-2.272929300000003927e-03
3.666666666700000299e+00,-2.288967499999960964e-03
3.700000000000000178e+00,-2.302180300000067348e-03
3.733333333299999612e+00,-2.312593600000023564e-03
3.766666666700000388e+00,-2.320235799999958992e-03
3.799999999999999822e+00,-2.325138200000020916e-03
3.833333333299999701e+00,-2.327334699999905610e-03
3.866666666700000032e+00,-2.326862200000001657e-03
3.899999999999999911e+00,-2.323760300000032863e-03
3.933333333299999790e+00,-2.318070900000024359e-03
3.966666666700000121e+00,-2.309839000000035725e-03
4.000000000000000000e+00,-2.299111699999967229e-03
4.033333333299999879e+00,-2.285938799999942539e-03
4.066666666699999766e+00,-2.270372500000061855e-03
4.099999999999999645e+00,-2.252467599999974368e-03
4.133333333299999524e+00,-2.232280800000041587e-03
4.166666666700000299e+00,-2.209871399999951969e-03
4.200000000000000178e+00,-2.185300700000003538e-03
4.233333333300000056e+00,-2.158632300000018489e-03
4.266666666699999944e+00,-2.129931799999984499e-03
4.299999999999999822e+00,-2.099266600000038174e-03
4.333333333299999701e+00,-2.066706399999951316e-03
4.366666666700000476e+00,-2.032322499999961174e-03
4.400000000000000355e+00,-1.996187799999993295e-03
4.433333333300000234e+00,-1.958377200000027685e-03
4.466666666700000121e+00,-1.918967200000065709e-03
4.500000000000000000e+00,-1.878035499999985980e-03
4.533333333299999879e+00,-1.835661599999927063e-03
4.566666666699999766e+00,-1.791926200000126812e-03
4.599999999999999645e+00,-1.746911199999923170e-03
4.633333333299999524e+00,-1.700699899999991160e-03
4.666666666700000299e+00,-1.653376499999970051e-03
4.700000000000000178e+00,-1.605026100000017664e-03
4.733333333300000056e+00,-1.555735399999980118e-03
4.766666666699999944e+00,-1.505590800000122798e-03
4.799999999999999822e+00,-1.454680499999971843e-03
4.833333333299999701e+00,-1.403092799999949847e-03
4.866666666700000476e+00,-1.350916499999965659e-03
4.900000000000000355e+00,-1.298241100000097070e-03
4.933333333300000234e+00,-1.245156499999899857e-03
4.966666666700000121e+00,-1.191752500000031745e-03
5.000000000000000000e+00,-1.138119400000081605e-03
5.033333333299999879e+00,-1.084347599999979650e-03
5.066666666699999766e+00,-1.030527099999956064e-03
5.099999999999999645e+00,-9.767482000000438092e-04
5.133333333299999524e+00,-9.231008999999179565e-04
5.166666666700000299e+00,-8.696746999999893646e-04
5.200000000000000178e+00,-8.165590000001055060e-04
5.233333333300000056e+00,-7.638422999999283647e-04
5.266666666699999944e+00,-7.116131000000081031e-04
5.299999999999999822e+00,-6.599585000000018908e-04
5.333333333299999701e+00,-6.089655000000027130e-04
5.366666666700000476e+00,-5.587199000000042659e-04
5.400000000000000355e+00,-5.093066000000368021e-04
5.433333333300000234e+00,-4.608093999999285373e-04
5.466666666699999233e+00,-4.133111000000910806e-04
5.500000000000000000e+00,-3.668931999999403004e-04
5.533333333300000767e+00,-3.216359000000057478e-04
5.566666666699999766e+00,-2.776182000000515515e-04
5.599999999999999645e+00,-2.349171999999066784e-04
