Time(sec),Intensity
0,0.4
0.0333333333,0.4069108879
0.0666666667,0.4138180806
0.1,0.4207178861
0.1333333333,0.4276066188
0.1666666667,0.4344806024
0.2,0.4413361731
0.2333333333,0.4481696831
0.2666666667,0.4549775032
0.3,0.4617560261
0.3333333333,0.4685016695
0.3666666667,0.4752108792
0.4,0.481880132
0.4333333333,0.4885059386
0.4666666667,0.4950848468
0.5,0.5016134443
0.5333333333,0.5080883616
0.5666666667,0.5145062746
0.6,0.5208639078
0.6333333333,0.5271580369
0.6666666667,0.5333854914
0.7,0.5395431573
0.7333333333,0.5456279796
0.7666666667,0.5516369653
0.8,0.5575671851
0.8333333333,0.5634157764
0.8666666667,0.5691799457
0.9,0.5748569703
0.9333333333,0.5804442012
0.9666666667,0.5859390649
1,0.5913390652
1.0333333333,0.5966417861
1.0666666667,0.6018448926
1.1,0.6069461334
1.1333333333,0.6119433423
1.1666666667,0.6168344399
1.2,0.6216174352
1.2333333333,0.6262904274
1.2666666667,0.6308516068
1.3,0.6352992565
1.3333333333,0.6396317539
1.3666666667,0.643847571
1.4,0.6479452766
1.4333333333,0.6519235363
1.4666666667,0.6557811141
1.5,0.6595168726
1.5333333333,0.6631297742
1.5666666667,0.6666188814
1.6,0.6699833576
1.6333333333,0.6732224671
1.6666666667,0.6763355757
1.7,0.679322151
1.7333333333,0.6821817622
1.7666666667,0.6849140804
1.8,0.6875188785
1.8333333333,0.689996031
1.8666666667,0.6923455135
1.9,0.6945674029
1.9333333333,0.6966618763
1.9666666667,0.698629211
2,0.7004697834
2.0333333333,0.7021840686
2.0666666667,0.7037726395
2.1,0.7052361657
2.1333333333,0.7065754127
2.1666666667,0.7077912406
2.2,0.7088846032
2.2333333333,0.7098565463
2.2666666667,0.7107082068
2.3,0.7114408107
2.3333333333,0.7120556723
2.3666666667,0.7125541917
2.4,0.7129378539
2.4333333333,0.7132082266
2.4666666667,0.7133669582
2.5,0.7134157764
2.5333333333,0.7133564858
2.5666666667,0.7131909658
2.6,0.7129211687
2.6333333333,0.7125491174
2.6666666667,0.7120769029
2.7,0.7115066823
2.7333333333,0.7108406764
2.7666666667,0.7100811667
2.8,0.7092304938
2.8333333333,0.708291054
2.8666666667,0.7072652971
2.9,0.7061557237
2.9333333333,0.7049648825
2.9666666667,0.7036953675
3,0.7023498152
3.0333333333,0.7009309018
3.0666666667,0.6994413405
3.1,0.6978838783
3.1333333333,0.6962612935
3.1666666667,0.6945763923
3.2,0.6928320061
3.2333333333,0.6910309886
3.2666666667,0.6891762127
3.3,0.6872705674
3.3333333333,0.6853169549
3.3666666667,0.6833182875
3.4,0.6812774848
3.4333333333,0.6791974701
3.4666666667,0.6770811683
3.5,0.6749315018
3.5333333333,0.6727513884
3.5666666667,0.6705437377
3.6,0.6683114484
3.6333333333,0.6660574051
3.6666666667,0.6637844758
3.7,0.6614955083
3.7333333333,0.659193328
3.7666666667,0.6568807344
3.8,0.6545604986
3.8333333333,0.6522353604
3.8666666667,0.6499080257
3.9,0.6475811635
3.9333333333,0.6452574032
3.9666666667,0.6429393323
4,0.6406294933
4.0333333333,0.6383303816
4.0666666667,0.6360444428
4.1,0.6337740703
4.1333333333,0.6315216027
4.1666666667,0.6292893219
4.2,0.6270794505
4.2333333333,0.6248941498
4.2666666667,0.6227355175
4.3,0.6206055857
4.3333333333,0.6185063191
4.3666666667,0.6164396127
4.4,0.6144072902
4.4333333333,0.6124111024
4.4666666667,0.6104527252
4.5,0.608533758
4.5333333333,0.6066557225
4.5666666667,0.6048200609
4.6,0.6030281347
4.6333333333,0.6012812235
4.6666666667,0.5995805236
4.7,0.5979271471
4.7333333333,0.596322121
4.7666666667,0.5947663856
4.8,0.5932607948
4.8333333333,0.5918061143
4.8666666667,0.5904030215
4.9,0.589052105
4.9333333333,0.5877538639
4.9666666667,0.5865087074
5,0.5853169549
5.0333333333,0.5841788355
5.0666666667,0.5830944879
5.1,0.5820639608
5.1333333333,0.5810872126
5.1666666667,0.5801641117
5.2,0.579294437
5.2333333333,0.578477878
5.2666666667,0.5777140357
5.3,0.5770024226
5.3333333333,0.5763424641
5.3666666667,0.5757334986
5.4,0.5751747787
5.4333333333,0.5746654721
5.4666666667,0.5742046627
5.5,0.5737913516
5.5333333333,0.5734244584
5.5666666667,0.5731028225
5.6,0.5728252043
5.6333333333,0.5725902871
5.6666666667,0.5723966782
5.7,0.5722429108
5.7333333333,0.5721274455
5.7666666667,0.5720486723
5.8,0.5720049125
5.8333333333,0.5719944202
5.8666666667,0.5720153849
5.9,0.5720659331
5.9333333333,0.5721441307
5.9666666667,0.5722479851
6,0.5723754476
6.0333333333,0.5725244155
6.0666666667,0.5726927347
6.1,0.5728782021
6.1333333333,0.5730785678
6.1666666667,0.5732915383
6.2,0.5735147783
6.2333333333,0.5737459141
6.2666666667,0.5739825357
6.3,0.5742221997
6.3333333333,0.5744624323
6.3666666667,0.5747007318
6.4,0.5749345715
6.4333333333,0.5751614026
6.4666666667,0.575378657
6.5,0.5755837504
6.5333333333,0.575774085
6.5666666667,0.5759470526
6.6,0.5761000374
6.6333333333,0.576230419
6.6666666667,0.5763355757
6.7,0.5764128869
6.7333333333,0.5764597367
6.7666666667,0.5764735163
6.8,0.5764516274
6.8333333333,0.576391485
6.8666666667,0.5762905204
6.9,0.5761461843
6.9333333333,0.5759559492
6.9666666667,0.5757173131
7,0.5754278017
7.0333333333,0.5750849717
7.0666666667,0.5746864135
7.1,0.5742297539
7.1333333333,0.5737126592
7.1666666667,0.5731328374
