Time_sec,Data
0,0.5
0.1,0.5
0.2,0.5
0.3,0.5
0.4,0.5
0.5,0.5
0.6,0.5
0.7,0.5
0.8,0.501
0.9,0.502
1,0.502
1.1,0.503
1.2,0.505
1.3,0.507
1.4,0.509
1.5,0.5165
1.6,0.528
1.7,0.534
1.8,0.539
1.9,0.541
2,0.5455
2.1,0.552
2.2,0.556
2.3,0.558
2.4,0.5605
2.5,0.562
2.6,0.5695
2.7,0.5755
2.8,0.58
2.9,0.586
3,0.5925
3.1,0.599
3.2,0.6105
3.3,0.62
3.4,0.625
3.5,0.6295
3.6,0.627
3.7,0.626
3.8,0.627
3.9,0.619
4,0.605
4.1,0.588
4.2,0.5755
4.3,0.5635
4.4,0.5495
4.5,0.54
4.6,0.528
4.7,0.514
4.8,0.506
4.9,0.495
5,0.481
5.1,0.4755
5.2,0.466
5.3,0.457
5.4,0.451
5.5,0.44
5.6,0.434
5.7,0.4155
5.8,0.412
5.9,0.41
6,0.402
6.1,0.392
6.2,0.388
6.3,0.383
6.4,0.38
6.5,0.376
6.6,0.3755
6.7,0.372
6.8,0.37
6.9,0.369
7,0.368
7.1,0.366
7.2,0.365
7.3,0.364
7.4,0.363
7.5,0.3625
7.6,0.363
7.7,0.363
7.8,0.361
7.9,0.36
8,0.357
8.1,0.355
8.2,0.353
8.3,0.348
8.4,0.34
8.5,0.335
8.6,0.333
8.7,0.326
8.8,0.318
8.9,0.317
9,0.309
9.1,0.302
9.2,0.297
9.3,0.289
9.4,0.278
9.5,0.268
9.6,0.255
9.7,0.238
9.8,0.225
9.9,0.212
10,0.1985
10.1,0.189
10.2,0.177
10.3,0.167
10.4,0.151
10.5,0.143
10.6,0.1365
10.7,0.1285
10.8,0.116
10.9,0.1085
11,0.1
11.1,0.088
11.2,0.072
11.3,0.0421666666666667
11.4,0.015
11.5,0.014
11.6,0.01
11.7,0.01
11.8,0.01
11.9,0.0025
12,0.001
12.1,0.001
12.2,0.001
12.3,0.001
12.4,0.001
12.5,0.001
12.6,0.001
12.7,0.001
12.8,0.001
12.9,0.001
13,0.001
13.1,0.002
13.2,0.003
13.3,0.005
13.4,0.009
13.5,0.0155
13.6,0.021
13.7,0.031
13.8,0.045
13.9,0.0555
14,0.067
14.1,0.082
14.2,0.0995
14.3,0.112
14.4,0.1285
14.5,0.146
14.6,0.161
14.7,0.177
14.8,0.196
14.9,0.219
15,0.2445
15.1,0.2655
15.2,0.285
15.3,0.3
15.4,0.318
15.5,0.3375
15.6,0.3545
15.7,0.371
15.8,0.385
15.9,0.397
16,0.407
16.1,0.419
16.2,0.425
16.3,0.433
16.4,0.444
16.5,0.45
16.6,0.456
16.7,0.464
16.8,0.469
16.9,0.47
17,0.473
17.1,0.479
17.2,0.48
17.3,0.48
17.4,0.485
17.5,0.493
17.6,0.494
17.7,0.4935
17.8,0.495
17.9,0.496
18,0.498
18.1,0.501
18.2,0.503
18.3,0.508
18.4,0.51
18.5,0.523
18.6,0.536
18.7,0.547
18.8,0.564
18.9,0.579
19,0.5965
19.1,0.6075
19.2,0.6175
19.3,0.6275
19.4,0.64
19.5,0.65
19.6,0.6595
19.7,0.672
19.8,0.684
19.9,0.699
20,0.711
20.1,0.7205
20.2,0.7305
20.3,0.743
20.4,0.76
20.5,0.779
20.6,0.794333333333333
20.7,0.805
20.8,0.815
20.9,0.8275
21,0.8345
21.1,0.8465
21.2,0.855
21.3,0.862
21.4,0.867
21.5,0.876
21.6,0.882
21.7,0.884
21.8,0.887
