ref_video_url,a_video_url,b_video_url,ref_start,ref_end,a_start,a_end,b_start,b_end
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,58.000000,61.600000,19.400000,22.600000,255.300000,260.100000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,45.400000,52.200000,36.300000,41.700000,204.900000,206.900000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,255.300000,260.100000,19.400000,22.600000,209.200000,212.200000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,214.800000,216.700000,26.700000,33.300000,119.200000,140.500000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,188.500000,195.500000,19.400000,22.600000,175.900000,179.300000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,175.900000,179.300000,201.500000,203.500000,214.800000,216.700000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,188.500000,195.500000,0.000000,10.000000,140.700000,143.000000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,45.400000,52.200000,26.700000,33.300000,58.000000,61.600000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,157.200000,161.200000,0.000000,10.000000,221.200000,229.600000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,0.000000,10.000000,66.900000,70.100000,157.200000,161.200000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,201.500000,203.500000,0.000000,10.000000,80.200000,86.600000
http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,http://bacchus.usc.edu:3748/TaskA.mp4,209.200000,212.200000,145.900000,149.300000,214.800000,216.700000
